"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jackson County, AL"	"01071"	4846	369710	1310.757	1049.767
	"Jefferson County, AL"	"01073"	48805	4617566	1056.942	930.415
	"Lamar County, AL"	"01075"	1378	99260	1388.273	985.824
	"Lauderdale County, AL"	"01077"	7696	648839	1186.119	913.637
	"Lawrence County, AL"	"01079"	2814	235717	1193.804	1057.449
	"Lee County, AL"	"01081"	6908	1052144	656.564	839.931
	"Limestone County, AL"	"01083"	5005	619853	807.450	804.156
	"Lowndes County, AL"	"01085"	949	75402	1258.587	1078.745
	"Macon County, AL"	"01087"	1663	140350	1184.895	984.924
	"Madison County, AL"	"01089"	19973	2425249	823.544	792.967
	"Marengo County, AL"	"01091"	1783	142086	1254.874	941.264
	"Marion County, AL"	"01093"	2871	212537	1350.824	997.960
	"Marshall County, AL"	"01095"	7638	661239	1155.104	1015.503
	"Mobile County, AL"	"01097"	29610	2898938	1021.409	945.178
	"Monroe County, AL"	"01099"	1839	155816	1180.238	938.192
	"Montgomery County, AL"	"01101"	14492	1597260	907.304	877.096
	"Morgan County, AL"	"01103"	8810	837809	1051.552	925.067
	"Perry County, AL"	"01105"	966	70217	1375.735	1098.618
	"Pickens County, AL"	"01107"	1776	139454	1273.538	989.618
	"Pike County, AL"	"01109"	2203	232056	949.340	931.553
	"Randolph County, AL"	"01111"	2046	158989	1286.881	977.617
	"Russell County, AL"	"01113"	3960	402364	984.183	984.738
	"St. Clair County, AL"	"01115"	6117	601326	1017.252	969.558
	"Shelby County, AL"	"01117"	9254	1424132	649.799	692.098
	"Sumter County, AL"	"01119"	1093	93338	1171.013	956.368
	"Talladega County, AL"	"01121"	6738	569100	1183.975	1035.626
	"Tallapoosa County, AL"	"01123"	3605	288346	1250.234	958.964
	"Tuscaloosa County, AL"	"01125"	11739	1403574	836.365	909.948
	"Walker County, AL"	"01127"	6951	461635	1505.735	1237.706
	"Washington County, AL"	"01129"	1468	119305	1230.460	1061.731
	"Wilcox County, AL"	"01131"	1032	79033	1305.784	1076.016
	"Winston County, AL"	"01133"	2182	168897	1291.912	979.772
	"Aleutians East Borough, AK"	"02013"	51	22563	226.034	318.493
	"Aleutians West Census Area, AK"	"02016"	103	39222	262.608	570.450
	"Anchorage Borough, AK"	"02020"	10992	2084853	527.231	718.060
	"Bethel Census Area, AK"	"02050"	741	123715	598.957	1032.860
	"Bristol Bay Borough, AK"	"02060"	56	6725	832.714	891.952
	"Denali Borough, AK"	"02068"	63	13216	476.695	749.611
	"Dillingham Census Area, AK"	"02070"	246	34805	706.795	1010.501
	"Fairbanks North Star Borough, AK"	"02090"	3172	697074	455.045	711.984
	"Haines Borough, AK"	"02100"	131	17802	735.872	647.065
	"Hoonah-Angoon Census Area, AK"	"02105"	53	6293	842.206	715.027
	"Juneau Borough, AK"	"02110"	1256	226285	555.052	681.811
	"Kenai Peninsula Borough, AK"	"02122"	2803	399782	701.132	711.981
	"Ketchikan Gateway Borough, AK"	"02130"	639	95820	666.875	710.397
	"Kodiak Island Borough, AK"	"02150"	428	97445	439.222	671.659
	"Lake and Peninsula Borough, AK"	"02164"	92	11357	810.073	1073.838
	"Matanuska-Susitna Borough, AK"	"02170"	3769	673400	559.697	771.566
	"Nome Census Area, AK"	"02180"	487	68735	708.518	1098.918
	"North Slope Borough, AK"	"02185"	340	67258	505.516	1016.635
	"Northwest Arctic Borough, AK"	"02188"	314	53893	582.636	872.994
	"Petersburg Borough/Census Area, AK"	"02195"	68	9486	716.846	746.740
	"Prince of Wales-Hyder Census Area, AK"	"02198"	150	19084	785.999	1118.302
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	141	22833	617.527	822.134
	"Sitka Borough, AK"	"02220"	443	62492	708.891	682.052
	"Skagway Municipality, AK"	"02230"	11	3181	Unreliable	Unreliable
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	77	12393	621.318	646.616
	"Southeast Fairbanks Census Area, AK"	"02240"	317	48936	647.785	792.561
	"Valdez-Cordova Census Area, AK"	"02261"	407	67091	606.639	804.733
	"Wade Hampton Census Area, AK"	"02270"	402	55085	729.781	1294.713
	"Wrangell City and Borough, AK"	"02275"	61	7157	852.312	677.160
	"Wrangell-Petersburg Census Area, AK"	"02280"	200	24825	805.639	803.778
	"Yakutat Borough, AK"	"02282"	23	4467	514.887	515.349
	"Yukon-Koyukuk Census Area, AK"	"02290"	388	39315	986.901	983.779
	"Apache County, AZ"	"04001"	4426	505462	875.635	933.756
	"Cochise County, AZ"	"04003"	8770	905841	968.161	736.632
	"Coconino County, AZ"	"04005"	5256	959169	547.974	676.197
	"Gila County, AZ"	"04007"	5107	372772	1370.006	887.911
	"Graham County, AZ"	"04009"	1937	262487	737.941	799.402
	"Greenlee County, AZ"	"04011"	410	63382	646.871	683.380
	"La Paz County, AZ"	"04012"	1771	142213	1245.315	736.365
	"Maricopa County, AZ"	"04013"	192354	28147077	683.389	655.668
	"Mohave County, AZ"	"04015"	20427	1422248	1436.247	896.205
	"Navajo County, AZ"	"04017"	6498	755667	859.903	834.356
	"Pima County, AZ"	"04019"	61620	6989527	881.605	692.606
	"Pinal County, AZ"	"04021"	18281	2762519	661.751	604.602
	"Santa Cruz County, AZ"	"04023"	1976	328308	601.874	548.842
	"Yavapai County, AZ"	"04025"	19050	1517352	1255.477	723.848
	"Yuma County, AZ"	"04027"	9825	1410997	696.316	587.137
	"Arkansas County, AR"	"05001"	1703	130821	1301.779	995.634
	"Ashley County, AR"	"05003"	1804	148630	1213.752	975.391
	"Baxter County, AR"	"05005"	4712	288026	1635.963	863.722
	"Benton County, AR"	"05007"	11729	1668744	702.864	710.311
	"Boone County, AR"	"05009"	3019	260399	1159.375	833.620
	"Bradley County, AR"	"05011"	1058	78874	1341.380	999.642
	"Calhoun County, AR"	"05013"	436	36635	1190.119	853.316
	"Carroll County, AR"	"05015"	2130	193470	1100.946	811.366
	"Chicot County, AR"	"05017"	1109	79441	1396.005	967.405
	"Clark County, AR"	"05019"	1770	159398	1110.428	953.666
	"Clay County, AR"	"05021"	1691	108196	1562.904	1064.134
	"Cleburne County, AR"	"05023"	2544	179730	1415.457	860.525
	"Cleveland County, AR"	"05025"	713	59582	1196.670	954.394
	"Columbia County, AR"	"05027"	2146	169538	1265.793	1001.134
	"Conway County, AR"	"05029"	1795	148114	1211.904	912.805
	"Craighead County, AR"	"05031"	6220	708688	877.678	879.736
	"Crawford County, AR"	"05033"	4276	433145	987.198	910.823
	"Crittenden County, AR"	"05035"	3473	348940	995.300	1042.222
	"Cross County, AR"	"05037"	1578	122430	1288.900	1039.842
	"Dallas County, AR"	"05039"	785	54936	1428.935	988.020
	"Desha County, AR"	"05041"	1070	86926	1230.932	1019.821
	"Drew County, AR"	"05043"	1370	130555	1049.366	893.349
	"Faulkner County, AR"	"05045"	6154	832410	739.299	866.272
	"Franklin County, AR"	"05047"	1644	125384	1311.172	1006.185
	"Fulton County, AR"	"05049"	1150	85615	1343.223	843.812
	"Garland County, AR"	"05051"	9489	679200	1397.085	935.917
	"Grant County, AR"	"05053"	1350	126174	1069.951	953.498
	"Greene County, AR"	"05055"	3305	303558	1088.754	1001.646
	"Hempstead County, AR"	"05057"	1684	156382	1076.850	896.303
	"Hot Spring County, AR"	"05059"	2757	232866	1183.943	976.282
	"Howard County, AR"	"05061"	1178	95168	1237.811	1006.993
	"Independence County, AR"	"05063"	2916	258709	1127.135	908.878
	"Izard County, AR"	"05065"	1313	94321	1392.055	846.898
	"Jackson County, AR"	"05067"	1626	123171	1320.116	1068.934
	"Jefferson County, AR"	"05069"	5877	515473	1140.118	998.552
	"Johnson County, AR"	"05071"	1812	181351	999.167	872.390
	"Lafayette County, AR"	"05073"	723	50814	1422.836	1004.588
	"Lawrence County, AR"	"05075"	1666	119061	1399.283	1009.992
	"Lee County, AR"	"05077"	867	69801	1242.103	986.437
	"Lincoln County, AR"	"05079"	901	97767	921.579	874.555
	"Little River County, AR"	"05081"	1147	89271	1284.852	995.671
	"Logan County, AR"	"05083"	1950	154172	1264.821	954.122
	"Lonoke County, AR"	"05085"	4409	493719	893.018	960.089
	"Madison County, AR"	"05087"	1218	110418	1103.081	898.530
	"Marion County, AR"	"05089"	1718	115101	1492.602	913.986
	"Miller County, AR"	"05091"	3265	305380	1069.160	960.792
	"Mississippi County, AR"	"05093"	3556	313581	1133.997	1103.873
	"Monroe County, AR"	"05095"	814	53884	1510.653	1028.605
	"Montgomery County, AR"	"05097"	916	64417	1421.985	870.938
	"Nevada County, AR"	"05099"	834	61417	1357.930	988.834
	"Newton County, AR"	"05101"	659	56497	1166.434	802.370
	"Ouachita County, AR"	"05103"	2472	175682	1407.088	1045.991
	"Perry County, AR"	"05105"	859	72100	1191.401	921.672
	"Phillips County, AR"	"05107"	1900	142800	1330.532	1143.135
	"Pike County, AR"	"05109"	959	77654	1234.965	957.702
	"Poinsett County, AR"	"05111"	2361	169858	1389.985	1164.608
	"Polk County, AR"	"05113"	1875	142763	1313.366	927.682
	"Pope County, AR"	"05115"	4036	439767	917.759	863.830
	"Prairie County, AR"	"05117"	751	59011	1272.644	858.799
	"Pulaski County, AR"	"05119"	24809	2727900	909.454	858.060
	"Randolph County, AR"	"05121"	1656	124096	1334.451	941.071
	"St. Francis County, AR"	"05123"	1966	191030	1029.158	983.410
	"Saline County, AR"	"05125"	7126	794775	896.606	786.273
	"Scott County, AR"	"05127"	876	75948	1153.421	914.358
	"Searcy County, AR"	"05129"	808	56026	1442.188	903.156
	"Sebastian County, AR"	"05131"	8711	889866	978.911	889.315
	"Sevier County, AR"	"05133"	1130	120520	937.604	915.578
	"Sharp County, AR"	"05135"	1861	119722	1554.434	969.241
	"Stone County, AR"	"05137"	1174	87730	1338.197	859.430
	"Union County, AR"	"05139"	3668	284885	1287.537	1022.073
	"Van Buren County, AR"	"05141"	1609	118590	1356.775	815.450
	"Washington County, AR"	"05143"	10120	1512725	668.991	782.012
	"White County, AR"	"05145"	5713	549235	1040.174	944.417
	"Woodruff County, AR"	"05147"	717	48953	1464.670	1026.897
	"Yell County, AR"	"05149"	1777	153286	1159.271	955.095
	"Alameda County, CA"	"06001"	66261	11070597	598.531	586.404
	"Alpine County, CA"	"06003"	62	7862	788.603	648.662
	"Amador County, CA"	"06005"	3026	260724	1160.614	702.319
	"Butte County, CA"	"06007"	15886	1560411	1018.065	780.871
	"Calaveras County, CA"	"06009"	3316	314510	1054.338	686.273
	"Colusa County, CA"	"06011"	1019	150226	678.311	664.312
	"Contra Costa County, CA"	"06013"	51328	7662134	669.892	599.551
	"Del Norte County, CA"	"06015"	1990	195438	1018.226	883.331
	"El Dorado County, CA"	"06017"	9968	1277458	780.300	618.404
	"Fresno County, CA"	"06019"	44766	6697271	668.422	731.645
	"Glenn County, CA"	"06021"	1707	196239	869.858	767.494
	"Humboldt County, CA"	"06023"	8955	945886	946.731	824.672
	"Imperial County, CA"	"06025"	7147	1245282	573.926	608.064
	"Inyo County, CA"	"06027"	1433	128800	1112.578	703.687
	"Kern County, CA"	"06029"	39377	6053176	650.518	816.734
	"Kings County, CA"	"06031"	5546	1060090	523.163	696.809
	"Lake County, CA"	"06033"	5782	449722	1285.683	927.709
	"Lassen County, CA"	"06035"	1639	228880	716.096	736.415
	"Los Angeles County, CA"	"06037"	418076	70112430	596.294	597.283
	"Madera County, CA"	"06039"	7309	1072640	681.403	715.940
	"Marin County, CA"	"06041"	13234	1804496	733.390	491.923
	"Mariposa County, CA"	"06043"	1268	124725	1016.637	654.822
	"Mendocino County, CA"	"06045"	5887	613160	960.108	725.443
	"Merced County, CA"	"06047"	11365	1844704	616.088	734.342
	"Modoc County, CA"	"06049"	789	64460	1224.015	828.022
	"Mono County, CA"	"06051"	348	98820	352.155	413.783
	"Monterey County, CA"	"06053"	16996	2993017	567.855	575.250
	"Napa County, CA"	"06055"	8366	980232	853.471	634.679
	"Nevada County, CA"	"06057"	6719	690745	972.718	604.249
	"Orange County, CA"	"06059"	129615	21758295	595.704	565.469
	"Placer County, CA"	"06061"	20636	2562177	805.409	610.733
	"Plumas County, CA"	"06063"	1615	133672	1208.181	795.212
	"Riverside County, CA"	"06065"	106035	16068589	659.890	653.290
	"Sacramento County, CA"	"06067"	75184	10264966	732.433	713.219
	"San Benito County, CA"	"06069"	2118	402298	526.475	577.417
	"San Bernardino County, CA"	"06071"	90254	14651119	616.021	748.802
	"San Diego County, CA"	"06073"	142310	22504398	632.365	607.456
	"San Francisco County, CA"	"06075"	39457	5869538	672.233	553.490
	"San Joaquin County, CA"	"06077"	35679	4963923	718.766	763.449
	"San Luis Obispo County, CA"	"06079"	16042	1936224	828.520	620.755
	"San Mateo County, CA"	"06081"	32633	5220857	625.051	518.061
	"Santa Barbara County, CA"	"06083"	20906	3049326	685.594	589.818
	"Santa Clara County, CA"	"06085"	66959	13022616	514.175	512.700
	"Santa Cruz County, CA"	"06087"	11998	1883498	637.006	599.604
	"Shasta County, CA"	"06089"	15032	1251531	1201.089	883.114
	"Sierra County, CA"	"06091"	253	21403	1182.077	752.682
	"Siskiyou County, CA"	"06093"	3926	308145	1274.076	847.097
	"Solano County, CA"	"06095"	21150	2982790	709.068	689.482
	"Sonoma County, CA"	"06097"	27798	3464356	802.400	624.362
	"Stanislaus County, CA"	"06099"	27649	3692137	748.862	782.959
	"Sutter County, CA"	"06101"	5391	668989	805.843	741.978
	"Tehama County, CA"	"06103"	4257	443178	960.562	764.918
	"Trinity County, CA"	"06105"	1104	93504	1180.698	812.722
	"Tulare County, CA"	"06107"	20314	3176050	639.600	763.958
	"Tuolumne County, CA"	"06109"	4478	379544	1179.837	738.301
	"Ventura County, CA"	"06111"	37229	5877142	633.454	589.848
	"Yolo County, CA"	"06113"	8637	1448022	596.469	647.986
	"Yuba County, CA"	"06115"	4018	514732	780.600	893.620
	"Adams County, CO"	"08001"	18902	3292079	574.166	755.043
	"Alamosa County, CO"	"08003"	936	112883	829.177	862.521
	"Arapahoe County, CO"	"08005"	24655	4246552	580.589	624.512
	"Archuleta County, CO"	"08007"	613	85811	714.361	544.657
	"Baca County, CO"	"08009"	413	25844	1598.050	801.679
	"Bent County, CO"	"08011"	413	41531	994.438	797.441
	"Boulder County, CO"	"08013"	11725	2164242	541.760	572.593
	"Broomfield County, CO"	"08014"	2358	424742	555.161	599.511
	"Chaffee County, CO"	"08015"	1229	128480	956.569	635.560
	"Cheyenne County, CO"	"08017"	137	13024	1051.904	679.415
	"Clear Creek County, CO"	"08019"	390	64083	608.586	579.067
	"Conejos County, CO"	"08021"	601	57623	1042.986	874.854
	"Costilla County, CO"	"08023"	263	25171	1044.853	733.092
	"Crowley County, CO"	"08025"	289	38862	743.657	770.990
	"Custer County, CO"	"08027"	260	30402	855.207	575.872
	"Delta County, CO"	"08029"	2462	212609	1157.994	738.845
	"Denver County, CO"	"08031"	30902	4543353	680.158	738.883
	"Dolores County, CO"	"08033"	129	14155	911.339	624.156
	"Douglas County, CO"	"08035"	7729	2147467	359.912	516.947
	"Eagle County, CO"	"08037"	752	368900	203.849	330.912
	"Elbert County, CO"	"08039"	858	167537	512.126	564.736
	"El Paso County, CO"	"08041"	28271	4585508	616.529	697.108
	"Fremont County, CO"	"08043"	3721	328050	1134.278	807.319
	"Garfield County, CO"	"08045"	2104	401357	524.222	637.364
	"Gilpin County, CO"	"08047"	193	39610	487.251	559.535
	"Grand County, CO"	"08049"	429	102044	420.407	496.579
	"Gunnison County, CO"	"08051"	464	109914	422.148	566.284
	"Hinsdale County, CO"	"08053"	33	5644	584.692	506.436
	"Huerfano County, CO"	"08055"	718	45977	1561.650	871.079
	"Jackson County, CO"	"08057"	78	9586	813.687	583.130
	"Jefferson County, CO"	"08059"	28489	3867447	736.636	665.515
	"Kiowa County, CO"	"08061"	148	9896	1495.554	797.147
	"Kit Carson County, CO"	"08063"	526	56568	929.854	681.972
	"Lake County, CO"	"08065"	283	51841	545.900	678.807
	"La Plata County, CO"	"08067"	2186	373236	585.688	579.976
	"Larimer County, CO"	"08069"	14259	2229322	639.612	611.754
	"Las Animas County, CO"	"08071"	1236	102148	1210.009	844.687
	"Lincoln County, CO"	"08073"	365	38514	947.707	658.042
	"Logan County, CO"	"08075"	1458	156888	929.325	713.926
	"Mesa County, CO"	"08077"	9762	1036059	942.224	744.262
	"Mineral County, CO"	"08079"	39	5006	779.065	477.835
	"Moffat County, CO"	"08081"	668	92523	721.983	744.666
	"Montezuma County, CO"	"08083"	1850	180989	1022.162	779.688
	"Montrose County, CO"	"08085"	2927	287015	1019.807	693.788
	"Morgan County, CO"	"08087"	1806	198172	911.330	741.643
	"Otero County, CO"	"08089"	1664	130223	1277.808	912.383
	"Ouray County, CO"	"08091"	195	32056	608.310	501.039
	"Park County, CO"	"08093"	598	114466	522.426	539.178
	"Phillips County, CO"	"08095"	362	30564	1184.400	672.274
	"Pitkin County, CO"	"08097"	360	122057	294.944	306.833
	"Prowers County, CO"	"08099"	908	85690	1059.634	868.478
	"Pueblo County, CO"	"08101"	11548	1132500	1019.691	810.614
	"Rio Blanco County, CO"	"08103"	360	46935	767.018	716.786
	"Rio Grande County, CO"	"08105"	876	82313	1064.230	804.934
	"Routt County, CO"	"08107"	698	166238	419.880	528.123
	"Saguache County, CO"	"08109"	299	43684	684.461	629.137
	"San Juan County, CO"	"08111"	32	4888	654.664	716.900
	"San Miguel County, CO"	"08113"	162	53843	300.875	404.170
	"Sedgwick County, CO"	"08115"	265	16640	1592.548	843.197
	"Summit County, CO"	"08117"	417	202694	205.729	306.308
	"Teller County, CO"	"08119"	1074	164187	654.132	676.507
	"Washington County, CO"	"08121"	356	33705	1056.223	650.191
	"Weld County, CO"	"08123"	11084	1902715	582.536	679.771
	"Yuma County, CO"	"08125"	702	70864	990.630	714.995
	"Fairfield County, CT"	"09001"	46553	6554135	710.284	583.522
	"Hartford County, CT"	"09003"	54904	6270465	875.597	672.131
	"Litchfield County, CT"	"09005"	12349	1304337	946.765	667.295
	"Middlesex County, CT"	"09007"	10308	1155218	892.299	639.222
	"New Haven County, CT"	"09009"	53567	6026312	888.885	686.829
	"New London County, CT"	"09011"	16368	1911217	856.418	682.727
	"Tolland County, CT"	"09013"	6998	1062019	658.934	616.378
	"Windham County, CT"	"09015"	7057	821545	858.991	743.830
	"Kent County, DE"	"10001"	10317	1184533	870.976	797.489
	"New Castle County, DE"	"10003"	30746	3842754	800.103	737.485
	"Sussex County, DE"	"10005"	16046	1454236	1103.397	740.840
	"District of Columbia, DC"	"11001"	33261	4510782	737.367	759.403
	"Alachua County, FL"	"12001"	12644	1781409	709.775	736.369
	"Baker County, FL"	"12003"	1620	190818	848.977	898.513
	"Bay County, FL"	"12005"	12358	1230192	1004.559	840.718
	"Bradford County, FL"	"12007"	2018	191230	1055.274	840.780
	"Brevard County, FL"	"12009"	46065	3889175	1184.441	746.618
	"Broward County, FL"	"12011"	101902	12857511	792.548	632.828
	"Calhoun County, FL"	"12013"	1129	102197	1104.729	885.549
	"Charlotte County, FL"	"12015"	16813	1167728	1439.804	636.485
	"Citrus County, FL"	"12017"	16942	983954	1721.828	831.094
	"Clay County, FL"	"12019"	11005	1386055	793.980	788.804
	"Collier County, FL"	"12021"	21355	2392941	892.416	469.552
	"Columbia County, FL"	"12023"	5285	476029	1110.226	907.313
	"DeSoto County, FL"	"12027"	2144	245255	874.192	661.160
	"Dixie County, FL"	"12029"	1453	113384	1281.486	934.355
	"Duval County, FL"	"12031"	53107	6237392	851.430	843.881
	"Escambia County, FL"	"12033"	22027	2142114	1028.283	874.964
	"Flagler County, FL"	"12035"	8191	707497	1157.743	670.883
	"Franklin County, FL"	"12037"	916	81906	1118.355	877.227
	"Gadsden County, FL"	"12039"	3226	323585	996.956	875.848
	"Gilchrist County, FL"	"12041"	1273	119097	1068.877	790.142
	"Glades County, FL"	"12043"	772	93246	827.918	562.867
	"Gulf County, FL"	"12045"	1208	111059	1087.710	863.830
	"Hamilton County, FL"	"12047"	957	101236	945.316	855.521
	"Hardee County, FL"	"12049"	1437	192982	744.629	694.673
	"Hendry County, FL"	"12051"	1942	270061	719.097	741.365
	"Hernando County, FL"	"12053"	17710	1230864	1438.827	796.891
	"Highlands County, FL"	"12055"	10194	691804	1473.539	692.677
	"Hillsborough County, FL"	"12057"	68333	9107911	750.260	731.239
	"Holmes County, FL"	"12059"	1789	137782	1298.428	1003.277
	"Indian River County, FL"	"12061"	13223	1003720	1317.399	633.858
	"Jackson County, FL"	"12063"	4033	342557	1177.322	904.493
	"Jefferson County, FL"	"12065"	1131	99906	1132.064	819.253
	"Lafayette County, FL"	"12067"	494	61579	802.222	767.583
	"Lake County, FL"	"12069"	25609	2186252	1171.365	687.369
	"Lee County, FL"	"12071"	44818	4660323	961.693	579.854
	"Leon County, FL"	"12073"	12179	1977154	615.986	701.672
	"Levy County, FL"	"12075"	3685	280032	1315.921	919.296
	"Liberty County, FL"	"12077"	451	58197	774.954	867.598
	"Madison County, FL"	"12079"	1581	131124	1205.729	936.584
	"Manatee County, FL"	"12081"	25407	2416979	1051.188	624.792
	"Marion County, FL"	"12083"	32495	2367755	1372.397	795.088
	"Martin County, FL"	"12085"	12811	1062269	1206.003	578.581
	"Miami-Dade County, FL"	"12086"	131971	18328348	720.038	599.629
	"Monroe County, FL"	"12087"	4874	531818	916.479	664.014
	"Nassau County, FL"	"12089"	5201	533533	974.823	764.214
	"Okaloosa County, FL"	"12091"	11443	1344544	851.069	769.917
	"Okeechobee County, FL"	"12093"	2945	277865	1059.867	847.542
	"Orange County, FL"	"12095"	50657	8598058	589.168	672.886
	"Osceola County, FL"	"12097"	13342	2100987	635.035	678.977
	"Palm Beach County, FL"	"12099"	96733	9648346	1002.586	569.484
	"Pasco County, FL"	"12101"	39718	3372655	1177.648	766.362
	"Pinellas County, FL"	"12103"	80185	6532962	1227.391	716.371
	"Polk County, FL"	"12105"	43515	4401633	988.610	739.864
	"Putnam County, FL"	"12107"	6672	510688	1306.473	930.169
	"St. Johns County, FL"	"12109"	11807	1477343	799.205	615.925
	"St. Lucie County, FL"	"12111"	20525	2024964	1013.598	663.722
	"Santa Rosa County, FL"	"12113"	9019	1126043	800.946	785.966
	"Sarasota County, FL"	"12115"	36720	2753317	1333.664	586.914
	"Seminole County, FL"	"12117"	21693	3061807	708.503	642.313
	"Sumter County, FL"	"12119"	10232	757089	1351.492	591.558
	"Suwannee County, FL"	"12121"	3762	302489	1243.682	892.527
	"Taylor County, FL"	"12123"	1698	158112	1073.922	869.563
	"Union County, FL"	"12125"	1492	106837	1396.520	1419.627
	"Volusia County, FL"	"12127"	45541	3541929	1285.768	791.833
	"Wakulla County, FL"	"12129"	1766	218454	808.408	864.324
	"Walton County, FL"	"12131"	3944	419152	940.947	750.479
	"Washington County, FL"	"12133"	1989	173054	1149.352	977.749
	"Appling County, GA"	"13001"	1383	128886	1073.041	968.181
	"Atkinson County, GA"	"13003"	547	58256	938.959	1117.698
	"Bacon County, GA"	"13005"	899	78665	1142.821	1116.797
	"Baker County, GA"	"13007"	193	22828	845.453	651.153
	"Baldwin County, GA"	"13009"	2805	319055	879.159	869.856
	"Banks County, GA"	"13011"	1081	128564	840.826	839.720
	"Barrow County, GA"	"13013"	3733	506637	736.819	869.579
	"Bartow County, GA"	"13015"	5812	710802	817.668	881.651
	"Ben Hill County, GA"	"13017"	1481	122470	1209.276	1063.259
	"Berrien County, GA"	"13019"	1422	133403	1065.943	944.127
	"Bibb County, GA"	"13021"	12012	1083549	1108.579	1020.177
	"Bleckley County, GA"	"13023"	1021	90045	1133.878	922.253
	"Brantley County, GA"	"13025"	1267	128884	983.055	958.545
	"Brooks County, GA"	"13027"	1238	109814	1127.361	921.441
	"Bryan County, GA"	"13029"	1727	232254	743.582	922.066
	"Bulloch County, GA"	"13031"	3389	506466	669.147	876.016
	"Burke County, GA"	"13033"	1645	161010	1021.676	996.582
	"Butts County, GA"	"13035"	1824	164822	1106.648	1034.619
	"Calhoun County, GA"	"13037"	456	45727	997.223	887.162
	"Camden County, GA"	"13039"	2278	360938	631.133	809.164
	"Candler County, GA"	"13043"	936	77012	1215.395	1059.289
	"Carroll County, GA"	"13045"	7110	790520	899.408	984.458
	"Catoosa County, GA"	"13047"	3997	456898	874.812	788.857
	"Charlton County, GA"	"13049"	754	90502	833.131	836.841
	"Chatham County, GA"	"13051"	16285	1950957	834.719	801.893
	"Chattahoochee County, GA"	"13053"	248	83022	298.716	831.038
	"Chattooga County, GA"	"13055"	2210	177299	1246.482	1038.055
	"Cherokee County, GA"	"13057"	9229	1587627	581.308	717.721
	"Clarke County, GA"	"13059"	4981	845146	589.366	773.419
	"Clay County, GA"	"13061"	294	21718	1353.716	921.181
	"Clayton County, GA"	"13063"	10376	1872023	554.267	831.930
	"Clinch County, GA"	"13065"	530	47641	1112.487	1114.006
	"Cobb County, GA"	"13067"	27755	5030728	551.709	688.939
	"Coffee County, GA"	"13069"	2717	300541	904.036	975.092
	"Colquitt County, GA"	"13071"	3263	321209	1015.849	980.114
	"Columbia County, GA"	"13073"	5744	949967	604.653	692.322
	"Cook County, GA"	"13075"	1272	119831	1061.495	993.479
	"Coweta County, GA"	"13077"	6534	935579	698.391	795.658
	"Crawford County, GA"	"13079"	752	87398	860.432	797.819
	"Crisp County, GA"	"13081"	1709	162627	1050.871	892.162
	"Dade County, GA"	"13083"	1307	115110	1135.436	978.402
	"Dawson County, GA"	"13085"	1350	159770	844.965	832.009
