"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Shelby County, AL"	"01117"	5833	943779	618.047	868.455
	"Sumter County, AL"	"01119"	932	86600	1076.212	955.743
	"Talladega County, AL"	"01121"	5290	485940	1088.612	1065.331
	"Tallapoosa County, AL"	"01123"	3265	246584	1324.092	1063.242
	"Tuscaloosa County, AL"	"01125"	8981	1017396	882.744	1015.450
	"Walker County, AL"	"01127"	5658	417076	1356.587	1212.199
	"Washington County, AL"	"01129"	1016	107326	946.649	958.557
	"Wilcox County, AL"	"01131"	874	76229	1146.545	1060.186
	"Winston County, AL"	"01133"	1733	147859	1172.063	1055.646
	"Aleutians East Borough, AK"	"02013"	49	16267	301.223	697.800
	"Aleutians West Census Area, AK"	"02016"	77	33858	227.420	844.378
	"Anchorage Borough, AK"	"02020"	7087	1614332	439.005	765.134
	"Bethel Census Area, AK"	"02050"	540	98439	548.563	1076.316
	"Bristol Bay Borough, AK"	"02060"	32	7075	452.297	933.054
	"Denali Borough, AK"	"02068"	19	5536	Unreliable	Unreliable
	"Dillingham Census Area, AK"	"02070"	167	29181	572.290	957.172
	"Fairbanks North Star Borough, AK"	"02090"	2048	520108	393.764	796.708
	"Haines Borough, AK"	"02100"	96	13949	688.221	764.103
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	809	185024	437.241	712.031
	"Kenai Peninsula Borough, AK"	"02122"	1781	304438	585.012	844.732
	"Ketchikan Gateway Borough, AK"	"02130"	530	81349	651.514	874.770
	"Kodiak Island Borough, AK"	"02150"	295	80862	364.819	752.683
	"Lake and Peninsula Borough, AK"	"02164"	89	10068	883.989	1299.443
	"Matanuska-Susitna Borough, AK"	"02170"	1964	397814	493.698	838.594
	"Nome Census Area, AK"	"02180"	375	55423	676.614	1050.957
	"North Slope Borough, AK"	"02185"	203	46847	433.326	907.422
	"Northwest Arctic Borough, AK"	"02188"	238	43834	542.958	991.608
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	170	34506	492.668	855.752
	"Sitka Borough, AK"	"02220"	298	53201	560.140	721.392
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	95	19989	475.261	641.179
	"Southeast Fairbanks Census Area, AK"	"02240"	215	35875	599.303	921.894
	"Valdez-Cordova Census Area, AK"	"02261"	311	60270	516.011	851.317
	"Wade Hampton Census Area, AK"	"02270"	232	43026	539.209	1018.298
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	282	38775	727.273	830.446
	"Yakutat Borough, AK"	"02282"	28	4259	657.431	1007.084
	"Yukon-Koyukuk Census Area, AK"	"02290"	287	43324	662.450	935.535
	"Apache County, AZ"	"04001"	2965	409359	724.303	967.157
	"Cochise County, AZ"	"04003"	6635	726058	913.839	839.055
	"Coconino County, AZ"	"04005"	3568	730935	488.142	758.464
	"Gila County, AZ"	"04007"	3859	308502	1250.883	930.244
	"Graham County, AZ"	"04009"	1591	198721	800.620	863.327
	"Greenlee County, AZ"	"04011"	344	47438	725.157	822.285
	"La Paz County, AZ"	"04012"	1271	118839	1069.514	747.091
	"Maricopa County, AZ"	"04013"	142057	19788842	717.864	782.179
	"Mohave County, AZ"	"04015"	13237	1023426	1293.401	982.523
	"Navajo County, AZ"	"04017"	4470	603929	740.153	920.965
	"Pima County, AZ"	"04019"	46112	5284826	872.536	804.266
	"Pinal County, AZ"	"04021"	10078	1227656	820.914	797.964
	"Santa Cruz County, AZ"	"04023"	1348	242887	554.991	657.159
	"Yavapai County, AZ"	"04025"	12486	1082851	1153.067	779.884
	"Yuma County, AZ"	"04027"	6770	1007940	671.667	648.306
	"Arkansas County, AR"	"05001"	1644	121595	1352.029	1080.211
	"Ashley County, AR"	"05003"	1578	141173	1117.777	1020.211
	"Baxter County, AR"	"05005"	3872	233321	1659.516	905.212
	"Benton County, AR"	"05007"	7644	1015098	753.031	744.137
	"Boone County, AR"	"05009"	2305	207600	1110.308	876.837
	"Bradley County, AR"	"05011"	1003	73749	1360.018	1043.791
	"Calhoun County, AR"	"05013"	381	33910	1123.562	931.405
	"Carroll County, AR"	"05015"	1511	155232	973.382	823.250
	"Chicot County, AR"	"05017"	1062	80038	1326.870	1106.137
	"Clark County, AR"	"05019"	1508	139132	1083.863	968.495
	"Clay County, AR"	"05021"	1468	102567	1431.260	1016.168
	"Cleburne County, AR"	"05023"	1837	147628	1244.344	849.662
	"Cleveland County, AR"	"05025"	557	52139	1068.298	986.088
	"Columbia County, AR"	"05027"	1826	151674	1203.898	996.064
	"Conway County, AR"	"05029"	1359	122727	1107.336	899.289
	"Craighead County, AR"	"05031"	4814	508245	947.181	1008.918
	"Crawford County, AR"	"05033"	3047	332993	915.034	1017.219
	"Crittenden County, AR"	"05035"	3032	303169	1000.102	1199.965
	"Cross County, AR"	"05037"	1315	114575	1147.720	1071.423
	"Dallas County, AR"	"05039"	767	53110	1444.172	1088.033
	"Desha County, AR"	"05041"	1036	87549	1183.337	1053.704
	"Drew County, AR"	"05043"	1088	111543	975.409	958.379
	"Faulkner County, AR"	"05045"	3945	554440	711.529	904.778
	"Franklin County, AR"	"05047"	1153	107398	1073.577	865.161
	"Fulton County, AR"	"05049"	922	71092	1296.911	899.995
	"Garland County, AR"	"05051"	7674	540393	1420.078	980.755
	"Grant County, AR"	"05053"	978	100710	971.105	999.113
	"Greene County, AR"	"05055"	2404	230743	1041.852	977.209
	"Hempstead County, AR"	"05057"	1537	139089	1105.048	978.383
	"Hot Spring County, AR"	"05059"	2012	185302	1085.795	938.501
	"Howard County, AR"	"05061"	1056	84630	1247.784	1036.646
	"Independence County, AR"	"05063"	2285	207915	1099.007	977.583
	"Izard County, AR"	"05065"	1132	80314	1409.468	936.951
	"Jackson County, AR"	"05067"	1478	108843	1357.919	1093.918
	"Jefferson County, AR"	"05069"	5352	494570	1082.152	1045.704
	"Johnson County, AR"	"05071"	1449	140661	1030.136	906.375
	"Lafayette County, AR"	"05073"	670	49612	1350.480	1002.009
	"Lawrence County, AR"	"05075"	1379	105700	1304.636	997.038
	"Lee County, AR"	"05077"	832	71703	1160.342	1045.410
	"Lincoln County, AR"	"05079"	778	87108	893.144	898.824
	"Little River County, AR"	"05081"	937	80026	1170.869	994.070
	"Logan County, AR"	"05083"	1629	135375	1203.324	984.557
	"Lonoke County, AR"	"05085"	2818	337181	835.753	966.489
	"Madison County, AR"	"05087"	885	85970	1029.429	966.033
	"Marion County, AR"	"05089"	1060	97411	1088.173	777.585
	"Miller County, AR"	"05091"	2250	247300	909.826	878.775
	"Mississippi County, AR"	"05093"	3430	296683	1156.116	1190.551
	"Monroe County, AR"	"05095"	802	57943	1384.119	1062.887
	"Montgomery County, AR"	"05097"	674	55547	1213.387	884.974
	"Nevada County, AR"	"05099"	745	57985	1284.815	1020.299
	"Newton County, AR"	"05101"	527	51259	1028.112	840.327
	"Ouachita County, AR"	"05103"	2276	166108	1370.193	1076.013
	"Perry County, AR"	"05105"	681	61932	1099.593	961.499
	"Phillips County, AR"	"05107"	1953	149973	1302.234	1215.902
	"Pike County, AR"	"05109"	869	67635	1284.838	985.544
	"Poinsett County, AR"	"05111"	1909	151599	1259.243	1149.332
	"Polk County, AR"	"05113"	1473	121120	1216.149	938.358
	"Pope County, AR"	"05115"	3062	334623	915.060	913.454
	"Prairie County, AR"	"05117"	700	55910	1252.012	940.124
	"Pulaski County, AR"	"05119"	19895	2188807	908.943	953.843
	"Randolph County, AR"	"05121"	1277	108785	1173.875	908.354
	"St. Francis County, AR"	"05123"	1918	174138	1101.425	1178.737
	"Saline County, AR"	"05125"	4438	529114	838.761	844.631
	"Scott County, AR"	"05127"	744	65660	1133.110	982.320
	"Searcy County, AR"	"05129"	617	48783	1264.785	891.708
	"Sebastian County, AR"	"05131"	6796	704078	965.234	933.960
	"Sevier County, AR"	"05133"	962	95208	1010.419	982.905
	"Sharp County, AR"	"05135"	1517	103764	1461.971	941.607
	"Stone County, AR"	"05137"	838	69971	1197.639	886.013
	"Union County, AR"	"05139"	3430	266454	1287.277	1046.623
	"Van Buren County, AR"	"05141"	1357	98885	1372.301	874.080
	"Washington County, AR"	"05143"	7299	1019785	715.739	895.607
	"White County, AR"	"05145"	4280	415381	1030.379	967.738
	"Woodruff County, AR"	"05147"	769	50271	1529.709	1192.145
	"Yell County, AR"	"05149"	1483	126843	1169.162	1011.631
	"Alameda County, CA"	"06001"	57635	8716760	661.198	749.729
	"Alpine County, CA"	"06003"	55	7356	747.689	970.547
	"Amador County, CA"	"06005"	2323	219792	1056.908	780.321
	"Butte County, CA"	"06007"	13186	1257782	1048.353	862.528
	"Calaveras County, CA"	"06009"	2381	257818	923.520	722.568
	"Colusa County, CA"	"06011"	852	117373	725.891	782.218
	"Contra Costa County, CA"	"06013"	41096	5878598	699.078	728.145
	"Del Norte County, CA"	"06015"	1633	166028	983.569	977.816
	"El Dorado County, CA"	"06017"	7246	997582	726.356	733.010
	"Fresno County, CA"	"06019"	34418	5022888	685.223	832.263
	"Glenn County, CA"	"06021"	1427	161085	885.868	869.271
	"Humboldt County, CA"	"06023"	7406	774771	955.895	929.792
	"Imperial County, CA"	"06025"	5464	889064	614.579	775.153
	"Inyo County, CA"	"06027"	1309	110105	1188.865	810.951
	"Kern County, CA"	"06029"	30729	4243572	724.131	964.847
	"Kings County, CA"	"06031"	4555	825852	551.552	850.516
	"Lake County, CA"	"06033"	4815	369464	1303.239	994.802
	"Lassen County, CA"	"06035"	1292	203682	634.322	813.755
	"Los Angeles County, CA"	"06037"	359913	58198066	618.428	749.060
	"Madera County, CA"	"06039"	5504	787216	699.173	816.447
	"Marin County, CA"	"06041"	10951	1474409	742.738	617.494
	"Mariposa County, CA"	"06043"	988	104995	940.997	723.235
	"Mendocino County, CA"	"06045"	5031	524621	958.978	853.122
	"Merced County, CA"	"06047"	8552	1366190	625.974	847.851
	"Modoc County, CA"	"06049"	627	56832	1103.252	860.207
	"Mono County, CA"	"06051"	306	79667	384.099	668.150
	"Monterey County, CA"	"06053"	14354	2441416	587.937	698.165
	"Napa County, CA"	"06055"	7621	770747	988.781	779.220
	"Nevada County, CA"	"06057"	5603	569763	983.391	736.650
	"Orange County, CA"	"06059"	101286	17451133	580.398	683.621
	"Placer County, CA"	"06061"	12975	1695250	765.374	729.916
	"Plumas County, CA"	"06063"	1320	125477	1051.986	812.467
	"Riverside County, CA"	"06065"	78949	10409151	758.458	813.985
	"Sacramento County, CA"	"06067"	57408	7829114	733.263	821.039
	"San Benito County, CA"	"06069"	1590	327628	485.307	687.418
	"San Bernardino County, CA"	"06071"	70872	10959060	646.698	915.985
	"San Diego County, CA"	"06073"	118441	17366944	681.991	751.926
	"San Francisco County, CA"	"06075"	37403	4620822	809.445	723.653
	"San Joaquin County, CA"	"06077"	27158	3690507	735.888	867.344
	"San Luis Obispo County, CA"	"06079"	12218	1521357	803.099	707.406
	"San Mateo County, CA"	"06081"	28250	4183706	675.239	638.100
	"Santa Barbara County, CA"	"06083"	17488	2429862	719.712	693.078
	"Santa Clara County, CA"	"06085"	52203	10042086	519.842	631.750
	"Santa Cruz County, CA"	"06087"	9974	1522932	654.921	725.179
	"Shasta County, CA"	"06089"	10996	1023546	1074.304	913.357
	"Sierra County, CA"	"06091"	227	20874	1087.477	779.088
	"Siskiyou County, CA"	"06093"	3084	265496	1161.599	851.715
	"Solano County, CA"	"06095"	15843	2432868	651.207	799.451
	"Sonoma County, CA"	"06097"	22876	2788441	820.387	752.497
	"Stanislaus County, CA"	"06099"	21586	2868217	752.593	889.250
	"Sutter County, CA"	"06101"	4215	501149	841.067	874.802
	"Tehama County, CA"	"06103"	3696	348805	1059.618	898.479
	"Trinity County, CA"	"06105"	873	78754	1108.515	949.005
	"Tulare County, CA"	"06107"	16186	2315699	698.968	879.816
	"Tuolumne County, CA"	"06109"	3605	335507	1074.493	813.117
	"Ventura County, CA"	"06111"	29021	4675636	620.686	712.060
	"Yolo County, CA"	"06113"	6855	1078784	635.438	812.161
	"Yuba County, CA"	"06115"	3223	376328	856.434	1039.664
	"Adams County, CO"	"08001"	13115	2284730	574.028	874.682
	"Alamosa County, CO"	"08003"	676	90556	746.499	894.965
	"Arapahoe County, CO"	"08005"	17296	3056423	565.890	748.083
	"Archuleta County, CO"	"08007"	357	65088	548.488	636.255
	"Baca County, CO"	"08009"	371	25502	1454.788	841.999
	"Bent County, CO"	"08011"	386	36276	1064.064	928.901
	"Boulder County, CO"	"08013"	8577	1733787	494.697	689.520
	"Broomfield County, CO"	"08014"	633	134985	468.941	715.146
	"Chaffee County, CO"	"08015"	876	100647	870.369	695.411
	"Cheyenne County, CO"	"08017"	140	12470	1122.694	783.390
	"Clear Creek County, CO"	"08019"	274	55919	489.994	690.089
	"Conejos County, CO"	"08021"	443	50108	884.090	778.222
	"Costilla County, CO"	"08023"	242	21784	1110.907	939.725
	"Crowley County, CO"	"08025"	282	33659	837.815	934.874
	"Custer County, CO"	"08027"	144	22646	635.874	663.512
	"Delta County, CO"	"08029"	1921	172203	1115.544	766.443
	"Denver County, CO"	"08031"	26850	3328437	806.685	862.373
	"Dolores County, CO"	"08033"	109	11124	979.863	771.397
	"Douglas County, CO"	"08035"	3255	1277432	254.808	642.108
	"Eagle County, CO"	"08037"	490	267217	183.372	466.880
	"Elbert County, CO"	"08039"	533	128637	414.344	731.782
	"El Paso County, CO"	"08041"	19206	3266954	587.887	803.790
	"Fremont County, CO"	"08043"	2971	279944	1061.284	914.590
	"Garfield County, CO"	"08045"	1676	281746	594.862	816.376
	"Gilpin County, CO"	"08047"	137	28665	477.935	920.756
	"Grand County, CO"	"08049"	361	78890	457.599	702.033
	"Gunnison County, CO"	"08051"	399	85569	466.290	780.951
	"Hinsdale County, CO"	"08053"	19	4788	Unreliable	Unreliable
	"Huerfano County, CO"	"08055"	578	44834	1289.200	908.447
	"Jackson County, CO"	"08057"	70	9085	770.501	716.043
	"Jefferson County, CO"	"08059"	19903	3152509	631.338	745.741
	"Kiowa County, CO"	"08061"	111	9116	1217.639	752.405
	"Kit Carson County, CO"	"08063"	448	48606	921.697	754.157
	"Lake County, CO"	"08065"	215	45502	472.507	738.464
	"La Plata County, CO"	"08067"	1521	275278	552.532	684.388
	"Larimer County, CO"	"08069"	9173	1592481	576.019	705.196
	"Las Animas County, CO"	"08071"	1060	92608	1144.610	821.199
	"Lincoln County, CO"	"08073"	332	35234	942.272	766.729
	"Logan County, CO"	"08075"	1213	128825	941.587	826.469
	"Mesa County, CO"	"08077"	7169	741057	967.402	817.103
	"Mineral County, CO"	"08079"	35	4929	710.083	635.035
	"Moffat County, CO"	"08081"	584	78679	742.257	910.994
	"Montezuma County, CO"	"08083"	1507	144682	1041.595	950.062
	"Montrose County, CO"	"08085"	1974	212251	930.031	756.969
	"Morgan County, CO"	"08087"	1472	165233	890.863	819.795
	"Otero County, CO"	"08089"	1377	118279	1164.197	908.419
	"Ouray County, CO"	"08091"	134	23339	574.146	666.997
	"Park County, CO"	"08093"	387	93896	412.158	621.402
	"Phillips County, CO"	"08095"	315	26790	1175.812	715.251
	"Pitkin County, CO"	"08097"	251	90819	276.374	401.816
	"Prowers County, CO"	"08099"	755	83668	902.376	857.422
	"Pueblo County, CO"	"08101"	8757	878409	996.916	875.943
	"Rio Blanco County, CO"	"08103"	279	35680	781.951	824.702
	"Rio Grande County, CO"	"08105"	761	73682	1032.817	887.929
	"Routt County, CO"	"08107"	429	123822	346.465	650.185
	"Saguache County, CO"	"08109"	257	37073	693.227	776.592
	"San Juan County, CO"	"08111"	13	3601	Unreliable	Unreliable
	"San Miguel County, CO"	"08113"	99	41760	237.069	565.614
	"Sedgwick County, CO"	"08115"	248	15827	1566.943	911.897
	"Summit County, CO"	"08117"	256	149478	171.263	349.133
	"Teller County, CO"	"08119"	587	128629	456.351	761.321
	"Washington County, CO"	"08121"	318	29698	1070.779	779.726
	"Weld County, CO"	"08123"	7270	1222538	594.665	798.383
	"Yuma County, CO"	"08125"	637	58904	1081.421	813.424
	"Fairfield County, CT"	"09001"	41565	5355997	776.046	705.180
	"Hartford County, CT"	"09003"	47461	5213072	910.423	761.294
	"Litchfield County, CT"	"09005"	10007	1117222	895.704	742.820
	"Middlesex County, CT"	"09007"	8037	955769	840.894	718.856
	"New Haven County, CT"	"09009"	46573	5022588	927.271	778.967
	"New London County, CT"	"09011"	13499	1590025	848.980	799.910
	"Tolland County, CT"	"09013"	5340	857218	622.945	713.479
	"Windham County, CT"	"09015"	6004	672644	892.597	865.458
	"Kent County, DE"	"10001"	6784	806281	841.394	912.927
	"New Castle County, DE"	"10003"	24854	3073505	808.653	859.582
	"Sussex County, DE"	"10005"	10895	999638	1089.895	855.246
	"District of Columbia, DC"	"11001"	34313	3423113	1002.392	1013.653
	"Alachua County, FL"	"12001"	9383	1354932	692.507	865.356
	"Baker County, FL"	"12003"	1166	140706	828.678	1087.991
	"Bay County, FL"	"12005"	8765	927930	944.576	931.772
	"Bradford County, FL"	"12007"	1582	161313	980.702	956.232
	"Brevard County, FL"	"12009"	32844	3011560	1090.598	799.683
	"Broward County, FL"	"12011"	95587	10155884	941.198	752.079
	"Calhoun County, FL"	"12013"	861	79399	1084.397	975.519
	"Charlotte County, FL"	"12015"	13283	904313	1468.850	700.909
	"Citrus County, FL"	"12017"	12587	752619	1672.427	855.098
	"Clay County, FL"	"12019"	7156	925722	773.018	944.943
	"Collier County, FL"	"12021"	14703	1679901	875.230	581.134
	"Columbia County, FL"	"12023"	3861	354791	1088.246	1032.293
	"DeSoto County, FL"	"12027"	1805	198087	911.216	779.540
	"Dixie County, FL"	"12029"	1033	86710	1191.327	1010.985
	"Duval County, FL"	"12031"	41279	4828783	854.853	975.565
	"Escambia County, FL"	"12033"	17303	1782921	970.486	938.066
	"Flagler County, FL"	"12035"	4189	371023	1129.041	699.418
	"Franklin County, FL"	"12037"	703	61252	1147.718	943.340
	"Gadsden County, FL"	"12039"	2718	270341	1005.397	1030.488
	"Gilchrist County, FL"	"12041"	915	89305	1024.579	983.552
	"Glades County, FL"	"12043"	631	68507	921.074	754.317
	"Gulf County, FL"	"12045"	886	89599	988.850	899.446
	"Hamilton County, FL"	"12047"	800	82983	964.053	1074.302
	"Hardee County, FL"	"12049"	1245	160589	775.271	791.732
	"Hendry County, FL"	"12051"	1716	219516	781.720	976.003
	"Hernando County, FL"	"12053"	13120	852182	1539.577	855.308
	"Highlands County, FL"	"12055"	8000	545451	1466.676	752.070
	"Hillsborough County, FL"	"12057"	52774	6411034	823.175	881.047
	"Holmes County, FL"	"12059"	1300	114297	1137.388	999.085
	"Indian River County, FL"	"12061"	9591	719953	1332.170	712.497
	"Jackson County, FL"	"12063"	3098	280286	1105.300	965.327
	"Jefferson County, FL"	"12065"	908	80931	1121.943	989.693
	"Lafayette County, FL"	"12067"	421	44579	944.391	1026.208
	"Lake County, FL"	"12069"	18331	1428045	1283.643	809.964
	"Lee County, FL"	"12071"	32629	2955936	1103.847	708.531
	"Leon County, FL"	"12073"	9202	1490383	617.425	854.372
	"Levy County, FL"	"12075"	2707	217927	1242.159	1012.290
	"Liberty County, FL"	"12077"	356	43895	811.026	1003.635
	"Madison County, FL"	"12079"	1255	113222	1108.442	966.031
	"Manatee County, FL"	"12081"	20057	1706261	1175.494	728.762
	"Marion County, FL"	"12083"	22089	1669998	1322.696	855.004
	"Martin County, FL"	"12085"	9943	807771	1230.918	672.826
	"Miami-Dade County, FL"	"12086"	110948	13937193	796.057	764.476
	"Monroe County, FL"	"12087"	4289	469314	913.887	814.310
	"Nassau County, FL"	"12089"	3388	369115	917.871	950.730
	"Okaloosa County, FL"	"12091"	8420	1063519	791.711	872.277
	"Okeechobee County, FL"	"12093"	2355	224011	1051.288	932.634
	"Orange County, FL"	"12095"	38788	5827504	665.602	839.589
	"Osceola County, FL"	"12097"	8504	1192285	713.252	844.957
	"Palm Beach County, FL"	"12099"	81213	7231701	1123.014	688.359
	"Pasco County, FL"	"12101"	32327	2278813	1418.589	852.383
	"Pinellas County, FL"	"12103"	74100	5554431	1334.070	814.814
	"Polk County, FL"	"12105"	32334	3066426	1054.452	841.412
	"Putnam County, FL"	"12107"	5427	430870	1259.545	1025.735
	"St. Johns County, FL"	"12109"	7199	842858	854.118	747.625
	"St. Lucie County, FL"	"12111"	14312	1282387	1116.044	786.440
	"Santa Rosa County, FL"	"12113"	5868	776278	755.915	897.608
	"Sarasota County, FL"	"12115"	28720	2073779	1384.911	667.845
	"Seminole County, FL"	"12117"	16135	2312846	697.625	795.541
	"Sumter County, FL"	"12119"	4414	364328	1211.546	707.155
	"Suwannee County, FL"	"12121"	2786	219805	1267.487	1018.025
	"Taylor County, FL"	"12123"	1304	118719	1098.392	1050.048
	"Union County, FL"	"12125"	975	83815	1163.276	1531.075
	"Volusia County, FL"	"12127"	35905	2781910	1290.660	853.924
	"Wakulla County, FL"	"12129"	1207	148700	811.701	1030.423
	"Walton County, FL"	"12131"	2734	269415	1014.791	934.889
	"Washington County, FL"	"12133"	1500	129296	1160.129	999.329
	"Appling County, GA"	"13001"	1107	105617	1048.127	1094.733
	"Atkinson County, GA"	"13003"	427	47069	907.179	1153.172
	"Bacon County, GA"	"13005"	722	61425	1175.417	1247.815
	"Baker County, GA"	"13007"	229	24117	949.538	884.951
	"Baldwin County, GA"	"13009"	2348	272371	862.059	994.602
	"Banks County, GA"	"13011"	667	93701	711.839	844.673
	"Barrow County, GA"	"13013"	2361	309898	761.864	1026.038
	"Bartow County, GA"	"13015"	3936	503008	782.493	1022.358
	"Ben Hill County, GA"	"13017"	1263	103421	1221.222	1166.763
	"Berrien County, GA"	"13019"	1042	101449	1027.117	1048.025
	"Bibb County, GA"	"13021"	9970	923223	1079.912	1078.993
	"Bleckley County, GA"	"13023"	750	71156	1054.022	1003.748
	"Brantley County, GA"	"13025"	842	93946	896.260	1077.629
	"Brooks County, GA"	"13027"	1224	97288	1258.120	1077.094
	"Bryan County, GA"	"13029"	1048	149348	701.717	1053.075
	"Bulloch County, GA"	"13031"	2466	353346	697.900	953.032
	"Burke County, GA"	"13033"	1443	135949	1061.427	1236.982
	"Butts County, GA"	"13035"	1174	126002	931.731	1074.911
	"Calhoun County, GA"	"13037"	398	37798	1052.966	1082.378
	"Camden County, GA"	"13039"	1318	270769	486.762	924.264
	"Candler County, GA"	"13043"	785	58925	1332.202	1145.004
	"Carroll County, GA"	"13045"	4865	572183	850.252	1057.490
	"Catoosa County, GA"	"13047"	2806	340169	824.884	896.481
	"Charlton County, GA"	"13049"	548	66162	828.270	1009.081
	"Chatham County, GA"	"13051"	13487	1423116	947.709	952.236
	"Chattahoochee County, GA"	"13053"	201	93605	214.732	1194.753
	"Chattooga County, GA"	"13055"	1682	153857	1093.223	1021.194
	"Cherokee County, GA"	"13057"	5171	972592	531.672	873.681
	"Clarke County, GA"	"13059"	3841	635627	604.285	893.291
	"Clay County, GA"	"13061"	293	19783	1481.070	1061.880
	"Clayton County, GA"	"13063"	8111	1495043	542.526	976.708
	"Clinch County, GA"	"13065"	483	41423	1166.019	1324.400
	"Cobb County, GA"	"13067"	19894	3783513	525.808	830.269
	"Coffee County, GA"	"13069"	2051	232949	880.450	1052.064
	"Colquitt County, GA"	"13071"	2658	255380	1040.802	1043.875
	"Columbia County, GA"	"13073"	3459	585815	590.459	797.688
	"Cook County, GA"	"13075"	1067	96536	1105.287	1116.309
	"Coweta County, GA"	"13077"	4057	592875	684.293	937.255
	"Crawford County, GA"	"13079"	659	75795	869.450	1089.178
	"Crisp County, GA"	"13081"	1496	133434	1121.154	1076.228
	"Dade County, GA"	"13083"	881	94449	932.779	1013.377
